FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Type of Transaction,Type of Property,Total Consideration
S92000003,Scotland,Country,2020-11,Count,Transactions,50,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2020-11,Count,Transactions,1440,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2020-11,Count,Transactions,350,Lease,All,Not Applicable
S92000003,Scotland,Country,2020-11,Count,Transactions,1480,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2020-10,Count,Transactions,11970,Conveyance,Residential,All
S92000003,Scotland,Country,2020-10,Count,Transactions,11980,All,Residential,Not Applicable
S92000003,Scotland,Country,2020-10,Count,Transactions,290,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2020-11,Count,Transactions,70,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-11,Count,Transactions,12270,All,Residential,Not Applicable
S92000003,Scotland,Country,2020-11,Count,Transactions,4960,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2020-11,Count,Transactions,280,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2020-11,Count,Transactions,100,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2020-11,Count,Transactions,270,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2020-11,Count,Transactions,2420,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2020-10,Count,Transactions,540,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2020-10,Count,Transactions,100,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2020-10,Count,Transactions,1420,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2020-10,Count,Transactions,80,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-10,Count,Transactions,4770,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2020-10,Count,Transactions,580,Conveyance,Non-residential,All
S92000003,Scotland,Country,2020-10,Count,Transactions,1220,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2020-10,Count,Transactions,4230,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2020-10,Count,Transactions,270,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2020-10,Count,Transactions,1460,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2020-10,Count,Transactions,13190,All,All,Not Applicable
