FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value
S12000039,West Dunbartonshire,Council Area,2018,Count,Expenditure,5554
S12000039,West Dunbartonshire,Council Area,2006,Count,Expenditure,5787
S12000039,West Dunbartonshire,Council Area,2010,Count,Expenditure,5987
S12000039,West Dunbartonshire,Council Area,2016,Count,Expenditure,5561
S12000039,West Dunbartonshire,Council Area,2017,Count,Expenditure,6228
S12000039,West Dunbartonshire,Council Area,2007,Count,Expenditure,5920
S12000039,West Dunbartonshire,Council Area,2011,Count,Expenditure,6399
S12000039,West Dunbartonshire,Council Area,2021,Count,Expenditure,7329
S12000039,West Dunbartonshire,Council Area,2012,Count,Expenditure,6507
S12000039,West Dunbartonshire,Council Area,2015,Count,Expenditure,6719
S12000039,West Dunbartonshire,Council Area,2019,Count,Expenditure,4895
S12000039,West Dunbartonshire,Council Area,2008,Count,Expenditure,6469
S12000039,West Dunbartonshire,Council Area,2005,Count,Expenditure,7604
S12000039,West Dunbartonshire,Council Area,2020,Count,Expenditure,7445
S12000039,West Dunbartonshire,Council Area,2009,Count,Expenditure,6312
S12000039,West Dunbartonshire,Council Area,2014,Count,Expenditure,6514
S12000040,West Lothian,Council Area,2005,Count,Expenditure,14556
S12000040,West Lothian,Council Area,2011,Count,Expenditure,15356
S12000040,West Lothian,Council Area,2008,Count,Expenditure,16206
S12000040,West Lothian,Council Area,2009,Count,Expenditure,17998
S12000040,West Lothian,Council Area,2019,Count,Expenditure,13805
S12000040,West Lothian,Council Area,2018,Count,Expenditure,15228
S12000040,West Lothian,Council Area,2010,Count,Expenditure,19800
S12000040,West Lothian,Council Area,2007,Count,Expenditure,14684
S12000040,West Lothian,Council Area,2020,Count,Expenditure,6451
S12000040,West Lothian,Council Area,2012,Count,Expenditure,16715
S12000040,West Lothian,Council Area,2015,Count,Expenditure,16869
S12000040,West Lothian,Council Area,2016,Count,Expenditure,14799
S12000040,West Lothian,Council Area,2014,Count,Expenditure,16328
S12000040,West Lothian,Council Area,2006,Count,Expenditure,13152
S12000040,West Lothian,Council Area,2017,Count,Expenditure,15428
S12000040,West Lothian,Council Area,2021,Count,Expenditure,7421
S92000003,Scotland,Country,2019,Count,Expenditure,381329
S92000003,Scotland,Country,2009,Count,Expenditure,485727
